ticker,quarter,fiscal_year,event_date,transcript_id,total_words,positive_count,negative_count,uncertainty_count,positive_ratio,negative_ratio,uncertainty_ratio,net_sentiment,sentiment_polarity
TMO,4,2020,2021-02-01 18:10:10,TMO_181044,4867,212,53,64,0.04355866036572838,0.010889665091432094,0.013149784261351962,0.032668995274296286,0.6
TMUS,3,2007,2007-11-14 19:21:49,TMUS_4284,4656,100,82,84,0.02147766323024055,0.01761168384879725,0.01804123711340206,0.003865979381443299,0.0989010989010989
TMUS,4,2007,2008-03-04 11:48:34,TMUS_6501,4333,119,80,96,0.027463651050080775,0.018462958689129932,0.022155550426955918,0.009000692360950843,0.19597989949748743
TMUS,1,2008,2008-05-06 21:08:12,TMUS_8618,3809,123,68,61,0.03229194014176949,0.01785245471252297,0.01601470202152796,0.014439485429246519,0.2879581151832461
TMUS,2,2008,2008-08-07 17:32:19,TMUS_11528,4513,171,64,80,0.037890538444493686,0.014181254154664303,0.017726567693330378,0.023709284289829383,0.4553191489361702
TMUS,3,2008,2008-11-05 20:34:16,TMUS_14408,3562,134,73,89,0.037619314991577765,0.020494104435710276,0.02498596294216732,0.01712521055586749,0.2946859903381642
TMUS,4,2008,2009-02-26 21:04:26,TMUS_17636,4279,160,73,83,0.0373919139985978,0.017060060761860247,0.01939705538677261,0.020331853236737554,0.37339055793991416
TMUS,1,2009,2009-05-07 19:08:26,TMUS_19604,4139,148,72,71,0.03575742933075622,0.01739550616090843,0.017153901908673594,0.01836192316984779,0.34545454545454546
TMUS,3,2009,2009-11-05 22:31:23,TMUS_22960,3930,102,63,65,0.025954198473282442,0.01603053435114504,0.01653944020356234,0.009923664122137403,0.23636363636363636
TMUS,3,2010,2010-11-04 20:06:27,TMUS_29262,4081,145,55,70,0.03553050722862044,0.013477088948787063,0.017152658662092625,0.022053418279833377,0.45
TMUS,4,2010,2011-02-24 18:42:17,TMUS_30579,4117,134,48,57,0.0325479718241438,0.011658974981782852,0.013845032790867136,0.020888996842360945,0.4725274725274725
TMUS,1,2011,2011-05-03 16:41:19,TMUS_31477,3809,112,67,61,0.02940404305592019,0.0175899186138094,0.01601470202152796,0.011814124442110791,0.25139664804469275
TMUS,2,2011,2011-08-02 18:12:00,TMUS_32916,3945,105,65,69,0.026615969581749048,0.016476552598225603,0.01749049429657795,0.010139416983523445,0.23529411764705882
TMUS,3,2011,2011-11-01 18:01:13,TMUS_34500,4122,112,41,76,0.027171276079573023,0.009946627850557981,0.018437651625424552,0.01722464822901504,0.46405228758169936
TMUS,4,2011,2012-02-23 18:41:14,TMUS_36742,4121,114,44,73,0.027663188546469302,0.010677020140742538,0.017714147051686484,0.016986168405726764,0.4430379746835443
TMUS,1,2012,2012-04-26 18:01:09,TMUS_37756,3878,108,65,78,0.02784940691077875,0.016761217122227952,0.020113460546673543,0.0110881897885508,0.24855491329479767
TMUS,2,2012,2012-07-26 17:11:11,TMUS_39592,3481,98,55,48,0.02815282964665326,0.01580005745475438,0.013789141051422005,0.01235277219189888,0.28104575163398693
TMUS,3,2012,2012-10-30 17:01:08,TMUS_42329,3524,104,50,55,0.029511918274687854,0.014188422247446084,0.015607264472190692,0.01532349602724177,0.35064935064935066
TMUS,4,2012,2013-02-26 18:21:09,TMUS_46608,3813,114,70,53,0.02989771833202203,0.01835824809861002,0.013899816417519015,0.011539470233412012,0.2391304347826087
TMUS,4,2013,2014-02-26 02:02:27,TMUS_64415,4205,117,71,43,0.027824019024970274,0.016884661117717005,0.010225921521997621,0.01093935790725327,0.24468085106382978
TMUS,1,2014,2014-05-01 17:31:12,TMUS_66938,4943,158,102,58,0.03196439409265628,0.02063524175601861,0.011733764920089014,0.011329152336637668,0.2153846153846154
TMUS,2,2014,2014-07-31 18:11:16,TMUS_70463,4129,118,66,34,0.028578348268345845,0.015984499878905305,0.008234439331557278,0.01259384838944054,0.2826086956521739
TMUS,3,2014,2014-10-28 20:41:10,TMUS_74198,4194,154,72,48,0.03671912255603243,0.017167381974248927,0.011444921316165951,0.0195517405817835,0.36283185840707965
TMUS,4,2014,2015-02-19 19:41:10,TMUS_79637,5711,192,124,36,0.03361933111539135,0.021712484678690247,0.006303624584135878,0.011906846436701105,0.21518987341772153
TMUS,1,2015,2015-04-28 23:57:05,TMUS_82626,5646,223,124,53,0.03949698901877435,0.021962451292950762,0.0093871767623096,0.01753453772582359,0.28530259365994237
TMUS,2,2015,2015-07-31 05:24:05,TMUS_87354,5842,215,150,46,0.036802464909277646,0.025676138308798356,0.007874015748031496,0.01112632660047929,0.1780821917808219
TMUS,3,2015,2015-10-27 22:02:17,TMUS_91099,5549,227,126,40,0.0409082717606776,0.02270679401693999,0.007208506037123806,0.01820147774373761,0.28611898016997167
TMUS,4,2015,2016-02-17 19:48:11,TMUS_96388,5906,220,116,60,0.0372502539790044,0.019641043007111413,0.01015916017609211,0.01760921097189299,0.30952380952380953
TMUS,1,2016,2016-04-26 19:59:15,TMUS_99272,6144,230,133,65,0.037434895833333336,0.021647135416666668,0.010579427083333334,0.015787760416666668,0.26721763085399447
TMUS,2,2016,2016-07-28 00:36:37,TMUS_103745,6416,218,127,53,0.033977556109725686,0.01979426433915212,0.008260598503740649,0.014183291770573567,0.263768115942029
