Ticker,Event_Date,Event_Type
BKNG,2014-05-08,Earnings Call
BKNG,2014-08-11,Earnings Call
BKNG,2014-11-04,Earnings Call
BKNG,2015-02-20,Earnings Call
BKNG,2015-05-07,Earnings Call
BKNG,2015-08-05,Earnings Call
BKNG,2015-11-09,Earnings Call
BKNG,2016-02-17,Earnings Call
BKNG,2016-05-04,Earnings Call
BKNG,2016-08-05,Earnings Call
BKNG,2016-11-08,Earnings Call
BKNG,2017-02-28,Earnings Call
BKNG,2017-05-10,Earnings Call
BKNG,2017-08-09,Earnings Call
BKNG,2017-11-07,Earnings Call
BKNG,2018-02-28,Earnings Call
BKNG,2018-05-10,Earnings Call
BKNG,2018-08-09,Earnings Call
BKNG,2018-11-06,Earnings Call
BKNG,2018-12-04,Earnings Call
BKNG,2019-02-28,Earnings Call
BKNG,2019-05-10,Earnings Call
BKNG,2019-05-14,Earnings Call
BKNG,2019-08-08,Earnings Call
BKNG,2019-11-08,Earnings Call
BKNG,2019-11-19,Earnings Call
BKNG,2020-02-27,Earnings Call
BKNG,2020-05-08,Earnings Call
BKNG,2020-08-07,Earnings Call
BKNG,2020-11-06,Earnings Call
BKNG,2021-02-25,Earnings Call
BLK,2007-10-17,Earnings Call
BLK,2008-01-22,Earnings Call
BLK,2008-04-16,Earnings Call
BLK,2008-07-17,Earnings Call
BLK,2008-10-21,Earnings Call
BLK,2009-01-21,Earnings Call
BLK,2009-10-20,Earnings Call
BLK,2010-01-27,Earnings Call
BLK,2010-07-22,Earnings Call
BLK,2010-10-20,Earnings Call
BLK,2011-01-25,Earnings Call
BLK,2011-04-21,Earnings Call
BLK,2011-07-20,Earnings Call
BLK,2011-10-19,Earnings Call
BLK,2012-01-19,Earnings Call
BLK,2012-04-18,Earnings Call
BLK,2012-07-18,Earnings Call
BLK,2012-10-17,Earnings Call
BLK,2013-01-17,Earnings Call
BLK,2013-02-13,Earnings Call
BLK,2013-04-16,Earnings Call
BLK,2013-06-18,Earnings Call
BLK,2013-07-18,Earnings Call
BLK,2013-09-09,Earnings Call
BLK,2013-10-16,Earnings Call
BLK,2013-12-10,Earnings Call
BLK,2014-01-16,Earnings Call
BLK,2014-02-16,Earnings Call
BLK,2014-04-17,Earnings Call
BLK,2014-07-16,Earnings Call
BLK,2014-10-15,Earnings Call
BLK,2015-01-16,Earnings Call
BLK,2015-04-16,Earnings Call
BLK,2015-07-15,Earnings Call
BLK,2015-10-14,Earnings Call
BLK,2016-01-15,Earnings Call
BLK,2016-04-14,Earnings Call
BLK,2016-07-14,Earnings Call
BLK,2016-10-18,Earnings Call
BLK,2017-01-13,Earnings Call
BLK,2017-04-19,Earnings Call
BLK,2017-07-17,Earnings Call
BLK,2017-10-11,Earnings Call
BLK,2018-01-12,Earnings Call
BLK,2018-04-12,Earnings Call
BLK,2018-07-16,Earnings Call
BLK,2018-10-16,Earnings Call
BLK,2018-12-05,Earnings Call
BLK,2019-01-16,Earnings Call
BLK,2019-04-16,Earnings Call
BLK,2019-07-19,Earnings Call
BLK,2019-10-15,Earnings Call
BLK,2019-12-11,Earnings Call
BLK,2020-01-15,Earnings Call
BLK,2020-04-16,Earnings Call
BLK,2020-05-29,Earnings Call
BLK,2020-07-17,Earnings Call
BLK,2020-10-13,Earnings Call
BLK,2021-01-14,Earnings Call
BMY,2007-07-26,Earnings Call
BMY,2007-10-25,Earnings Call
BMY,2008-01-31,Earnings Call
BMY,2008-04-25,Earnings Call
BMY,2008-07-28,Earnings Call
BMY,2008-10-23,Earnings Call
BMY,2009-01-27,Earnings Call
BMY,2009-04-28,Earnings Call
BMY,2009-07-23,Earnings Call
BMY,2009-10-22,Earnings Call
BMY,2010-01-28,Earnings Call
BMY,2010-04-30,Earnings Call
BMY,2010-07-22,Earnings Call
BMY,2010-10-26,Earnings Call
BMY,2011-01-27,Earnings Call
BMY,2011-04-29,Earnings Call
BMY,2011-07-29,Earnings Call
BMY,2011-10-27,Earnings Call
BMY,2012-01-26,Earnings Call
BMY,2012-04-26,Earnings Call
BMY,2012-05-01,Earnings Call
